old url,new url
http://www.tdwg.org/standards/150,https://github.com/tdwg/guid-as
http://www.tdwg.org/standards/450,https://github.com/tdwg/dwc
http://www.tdwg.org/standards/449,https://github.com/tdwg/tapir
http://www.tdwg.org/standards/115,https://github.com/tdwg/abcd
http://www.tdwg.org/standards/116,https://github.com/tdwg/sdd
http://www.tdwg.org/standards/117,
http://www.tdwg.org/standards/107,
http://www.tdwg.org/standards/147,https://github.com/tdwg/vocab
http://www.tdwg.org/standards/312,
http://www.tdwg.org/standards/640,https://github.com/tdwg/abcddna
http://www.tdwg.org/standards/638,https://github.com/tdwg/ac
http://www.tdwg.org/standards/110,https://github.com/tdwg/prior-standards/tree/master/hispid3
http://www.tdwg.org/standards/103,https://github.com/tdwg/prior-standards/tree/master/economic-botany-data-collection-standard
http://www.tdwg.org/standards/106,https://github.com/tdwg/prior-standards/tree/master/poss
http://www.tdwg.org/standards/113,https://github.com/tdwg/prior-standards/tree/master/plant-names-in-botanical-databases
http://www.tdwg.org/standards/101,https://github.com/tdwg/prior-standards/tree/master/authors-of-plant-names
http://www.tdwg.org/standards/109,https://github.com/tdwg/prior-standards/tree/master/world-geographical-scheme-for-recording-plant-distributions
http://www.tdwg.org/standards/108,https://github.com/tdwg/prior-standards/tree/master/xdf
http://www.tdwg.org/standards/114,https://github.com/tdwg/prior-standards/tree/master/botanico-periodicum-huntianum-supplementum
http://www.tdwg.org/standards/105,https://github.com/tdwg/prior-standards/tree/master/index-herbariorum-part-i
http://www.tdwg.org/standards/102,https://github.com/tdwg/prior-standards/tree/master/itf2
http://www.tdwg.org/standards/104,https://github.com/tdwg/prior-standards/tree/master/floristic-regions-of-the-world
http://www.tdwg.org/standards/111,https://github.com/tdwg/prior-standards/tree/master/taxonomic-literature-2
http://www.tdwg.org/standards/112,https://github.com/tdwg/prior-standards/tree/master/botanico-periodicum-huntianum
